date,amount,reference,description
2026-08-20,108171.38,UTR498837994177,NEFT CR-RAZORPAY SETTLEMENT-BATCH1
2026-08-23,116294.35,UTR917103043320,NEFT CR-RAZORPAY SETTLEMENT-BATCH2
2026-08-26,124269.36,UTR219883823727,NEFT CR-RAZORPAY SETTLEMENT-BATCH3
2026-08-29,95150.97,UTR882547985119,NEFT CR-RAZORPAY SETTLEMENT-BATCH4
2026-09-03,109677.67,UTR252250635901,NEFT CR-RAZORPAY SETTLEMENT-BATCH5
2026-09-10,121030.37,UTR446809914267,NEFT CR-RAZORPAY SETTLEMENT-BATCH6
2026-09-24,122563.67,UTR700581361458,NEFT CR-RAZORPAY SETTLEMENT-BATCH7
2026-10-08,128588.0,UTR708092248272,NEFT CR-RAZORPAY SETTLEMENT-BATCH8
2026-10-22,127456.95,UTR484229076692,NEFT CR-RAZORPAY SETTLEMENT-BATCH9
2026-11-05,110668.75,UTR236786184083,NEFT CR-RAZORPAY SETTLEMENT-BATCH10
