order_ref,amount,status,refund_amount,fee_amount
OD-01-0001,9771.69,partially_refunded,4104.34,244.29
OD-01-0002,3736.56,completed,0.0,85.94
OD-01-0003,10312.14,completed,0.0,257.8
OD-01-0004,1760.61,completed,0.0,40.49
OD-01-0005,932.06,completed,0.0,18.64
OD-01-0006,7827.65,partially_refunded,2810.68,195.69
OD-01-0007,9923.32,completed,0.0,248.08
OD-01-0008,3696.39,completed,0.0,85.02
OD-01-0009,12236.74,partially_refunded,10335.83,305.92
OD-01-0010,10623.02,completed,0.0,265.58
OD-01-0011,2754.45,completed,0.0,63.35
OD-01-0012,5380.62,partially_refunded,1492.44,134.52
OD-01-0013,12788.67,completed,0.0,319.72
OD-01-0014,12203.36,completed,0.0,305.08
OD-01-0015,8275.31,completed,0.0,206.88
OD-01-0016,5988.75,completed,0.0,149.72
OD-01-0017,12526.37,completed,0.0,313.16
OD-02-0001,8871.61,completed,0.0,221.79
OD-02-0002,1164.45,completed,0.0,26.78
OD-02-0003,4696.13,partially_refunded,1813.8,108.01
OD-02-0004,1964.52,completed,0.0,45.18
OD-02-0005,9717.42,completed,0.0,242.94
OD-02-0006,5867.62,completed,0.0,146.69
OD-02-0007,4371.18,completed,0.0,100.54
OD-02-0008,9896.51,completed,0.0,247.41
OD-02-0009,2981.51,completed,0.0,68.57
OD-02-0010,2869.34,completed,0.0,65.99
OD-02-0011,14848.09,completed,0.0,371.2
OD-02-0012,8575.77,completed,0.0,214.39
OD-02-0013,12721.35,completed,0.0,318.03
OD-02-0014,3821.2,partially_refunded,1728.57,87.89
OD-02-0015,4382.24,completed,0.0,100.79
OD-02-0016,14172.19,completed,0.0,354.3
OD-02-0017,5062.83,completed,0.0,126.57
OD-02-0018,6236.66,completed,0.0,155.92
OD-02-0019,7153.35,completed,0.0,178.83
OD-03-0001,8639.84,completed,0.0,216.0
OD-03-0002,8976.5,completed,0.0,224.41
OD-03-0003,6291.31,completed,0.0,157.28
OD-03-0004,14964.3,completed,0.0,374.11
OD-03-0005,1818.19,partially_refunded,523.13,41.82
OD-03-0006,9597.97,completed,0.0,239.95
OD-03-0007,6621.32,partially_refunded,3345.72,165.53
OD-03-0008,14943.76,completed,0.0,373.59
OD-03-0009,14580.64,completed,0.0,364.52
OD-03-0010,666.47,completed,0.0,13.33
OD-03-0011,10384.8,completed,0.0,259.62
OD-03-0012,4368.97,completed,0.0,100.49
OD-03-0013,2117.51,completed,0.0,48.7
OD-03-0014,7078.99,completed,0.0,176.97
OD-03-0015,13199.87,completed,0.0,330.0
OD-03-0016,7758.5,completed,0.0,193.96
OD-04-0001,13122.52,completed,0.0,328.06
OD-04-0002,9764.77,completed,0.0,244.12
OD-04-0003,2716.17,completed,0.0,62.47
OD-04-0004,8321.0,completed,0.0,208.03
OD-04-0005,8190.13,partially_refunded,3761.93,204.75
OD-04-0006,782.41,completed,0.0,15.65
OD-04-0007,13241.47,completed,0.0,331.04
OD-04-0008,4958.95,partially_refunded,4474.99,114.06
OD-04-0009,14230.77,partially_refunded,8378.97,355.77
OD-04-0010,1503.58,completed,0.0,34.58
OD-04-0011,11604.6,completed,0.0,290.12
OD-04-0012,7391.59,completed,0.0,184.79
OD-04-0013,4343.32,completed,0.0,99.9
OD-04-0014,6635.5,completed,0.0,165.89
OD-04-0015,8319.79,completed,0.0,207.99
OD-05-0001,5019.89,completed,0.0,125.5
OD-05-0002,9923.23,completed,0.0,248.08
OD-05-0003,8004.85,completed,0.0,200.12
OD-05-0004,3758.11,completed,0.0,86.44
OD-05-0005,9030.48,completed,0.0,225.76
OD-05-0006,3693.15,partially_refunded,2603.24,84.94
OD-05-0007,3819.66,completed,0.0,87.85
OD-05-0008,12964.71,partially_refunded,5061.47,324.12
OD-05-0009,10200.18,completed,0.0,255.0
OD-05-0010,2418.52,completed,0.0,55.63
OD-05-0011,8780.12,completed,0.0,219.5
OD-05-0012,11876.98,completed,0.0,296.92
OD-05-0013,3260.94,partially_refunded,1776.69,75.0
OD-05-0014,6641.89,completed,0.0,166.05
OD-05-0015,11071.6,completed,0.0,276.79
OD-05-0016,14770.4,partially_refunded,7711.58,369.26
OD-05-0017,5419.89,completed,0.0,135.5
OD-05-0018,4105.52,completed,0.0,94.43
OD-06-0001,6617.28,completed,0.0,165.43
OD-06-0002,4122.19,completed,0.0,94.81
OD-06-0003,6925.4,completed,0.0,173.13
OD-06-0004,8479.72,refunded,8474.85,211.99
OD-06-0005,12622.4,completed,0.0,315.56
OD-06-0006,13932.32,completed,0.0,348.31
OD-06-0007,2911.51,completed,0.0,66.96
OD-06-0008,3599.34,completed,0.0,82.78
OD-06-0009,1350.21,completed,0.0,31.05
OD-06-0010,14786.98,completed,0.0,369.67
OD-06-0011,11869.02,completed,0.0,296.73
OD-06-0012,6633.61,completed,0.0,165.84
OD-06-0013,14933.63,completed,0.0,373.34
OD-06-0014,10916.92,completed,0.0,272.92
OD-06-0015,4802.26,completed,0.0,110.45
OD-06-0016,8898.11,completed,0.0,222.45
OD-07-0001,1328.9,completed,0.0,30.56
OD-07-0002,7791.33,completed,0.0,194.78
OD-07-0003,2782.77,completed,0.0,64.0
OD-07-0004,1661.62,completed,0.0,38.22
OD-07-0005,9128.01,completed,0.0,228.2
OD-07-0006,3910.46,partially_refunded,3567.24,89.94
OD-07-0007,4070.12,completed,0.0,93.61
OD-07-0008,9481.03,completed,0.0,237.03
OD-07-0009,8963.25,completed,0.0,224.08
OD-07-0010,14053.24,completed,0.0,351.33
OD-07-0011,10884.78,completed,0.0,272.12
OD-07-0012,6238.89,completed,0.0,155.97
OD-07-0013,4849.96,completed,0.0,111.55
OD-07-0014,11402.04,partially_refunded,6460.72,285.05
OD-07-0015,14977.59,completed,0.0,374.44
OD-07-0016,1562.28,completed,0.0,35.93
OD-07-0017,4345.41,completed,0.0,99.94
OD-07-0018,13272.53,completed,0.0,331.81
OD-07-0019,5858.14,completed,0.0,146.45
OD-08-0001,10701.33,completed,0.0,267.53
OD-08-0002,14814.88,completed,0.0,370.37
OD-08-0003,613.44,completed,0.0,12.27
OD-08-0004,4840.99,completed,0.0,111.34
OD-08-0005,14114.49,completed,0.0,352.86
OD-08-0006,2173.72,partially_refunded,1396.79,50.0
OD-08-0007,4449.05,completed,0.0,102.33
OD-08-0008,10905.38,completed,0.0,272.63
OD-08-0009,9696.45,completed,0.0,242.41
OD-08-0010,7583.71,completed,0.0,189.59
OD-08-0011,12768.5,partially_refunded,6880.44,319.21
OD-08-0012,4511.86,partially_refunded,3685.72,103.77
OD-08-0013,9738.14,completed,0.0,243.45
OD-08-0014,11247.85,completed,0.0,281.2
OD-08-0015,6701.46,partially_refunded,1743.69,167.54
OD-08-0016,13305.04,completed,0.0,332.63
OD-08-0017,8411.06,completed,0.0,210.28
OD-09-0001,2647.36,completed,0.0,73.07
OD-09-0002,4969.75,completed,0.0,137.16
OD-09-0003,12043.77,completed,0.0,361.31
OD-09-0004,13534.41,completed,0.0,406.03
OD-09-0005,4118.18,partially_refunded,3393.76,113.66
OD-09-0006,13319.95,completed,0.0,399.6
OD-09-0007,9499.59,completed,0.0,284.99
OD-09-0008,13983.27,completed,0.0,419.5
OD-09-0009,14654.99,completed,0.0,439.64
OD-09-0010,13280.53,partially_refunded,10481.68,398.41
OD-09-0011,5316.69,completed,0.0,159.5
OD-09-0012,12132.41,completed,0.0,363.97
OD-09-0013,12255.87,completed,0.0,367.68
OD-09-0014,11916.93,partially_refunded,10698.23,357.5
OD-09-0015,12949.6,completed,0.0,388.49
OD-10-0001,4925.27,completed,0.0,113.28
OD-10-0002,3800.13,partially_refunded,1347.16,87.4
OD-10-0003,5259.8,completed,0.0,131.5
OD-10-0004,14519.89,completed,0.0,363.0
OD-10-0005,9801.49,completed,0.0,245.04
OD-10-0006,14726.67,completed,0.0,368.17
OD-10-0007,14118.94,partially_refunded,13784.61,352.97
OD-10-0008,3089.23,completed,0.0,71.05
OD-10-0009,4349.26,partially_refunded,2381.88,100.03
OD-10-0010,11063.9,completed,0.0,276.6
