batch_id,settlement_date,order_ref,gross_amount,fee,tax,refund,net_amount
1,2026-08-20,OD-01-0001,9771.69,244.29,43.97,4104.34,5379.09
1,2026-08-20,OD-01-0002,3736.56,85.94,15.47,0.0,3635.15
1,2026-08-20,OD-01-0003,10312.14,257.8,46.4,0.0,10007.94
1,2026-08-20,OD-01-0004,1760.61,40.49,7.29,0.0,1712.83
1,2026-08-20,OD-01-0005,932.06,18.64,3.36,0.0,910.06
1,2026-08-20,OD-01-0006,7827.65,195.69,35.22,2810.68,4786.06
1,2026-08-20,OD-01-0007,9923.32,248.08,44.65,0.0,9630.59
1,2026-08-20,OD-01-0008,3696.39,85.02,15.3,0.0,3596.07
1,2026-08-20,OD-01-0009,12236.74,305.92,55.07,10335.83,1539.92
1,2026-08-20,OD-01-0010,10623.02,265.58,47.8,0.0,10309.64
1,2026-08-20,OD-01-0011,2754.45,63.35,11.4,0.0,2679.7
1,2026-08-20,OD-01-0012,5380.62,134.52,24.21,1492.44,3729.45
1,2026-08-20,OD-01-0013,12788.67,319.72,57.55,0.0,12411.4
1,2026-08-20,OD-01-0014,12203.36,305.08,54.91,0.0,11843.37
1,2026-08-20,OD-01-0015,8275.31,206.88,37.24,0.0,8031.19
1,2026-08-20,OD-01-0016,5988.75,149.72,26.95,0.0,5812.08
1,2026-08-20,OD-01-0017,12526.37,313.16,56.37,0.0,12156.84
2,2026-08-23,OD-02-0001,8871.61,221.79,39.92,5786.83,2823.07
2,2026-08-23,OD-02-0002,1164.45,23.29,4.19,0.0,1136.97
2,2026-08-23,OD-02-0003,4696.13,108.01,19.44,1813.8,2754.88
2,2026-08-23,OD-02-0004,1964.52,45.18,8.13,0.0,1911.21
2,2026-08-23,OD-02-0005,9717.42,242.94,43.73,0.0,9430.75
2,2026-08-23,OD-02-0006,5867.62,146.69,26.4,0.0,5694.53
2,2026-08-23,OD-02-0007,4371.18,100.54,18.1,0.0,4252.54
2,2026-08-23,OD-02-0008,9896.51,247.41,44.53,0.0,9604.57
2,2026-08-23,OD-02-0009,2981.51,68.57,12.34,0.0,2900.6
2,2026-08-23,OD-02-0010,2869.34,65.99,11.88,0.0,2791.47
2,2026-08-23,OD-02-0011,14848.09,371.2,66.82,0.0,14410.07
2,2026-08-23,OD-02-0012,8575.77,214.39,38.59,0.0,8322.79
2,2026-08-23,OD-02-0013,12721.35,318.03,57.25,0.0,12346.07
2,2026-08-23,OD-02-0014,3821.2,87.89,15.82,1728.57,1988.92
2,2026-08-23,OD-02-0015,4382.24,100.79,18.14,0.0,4263.31
2,2026-08-23,OD-02-0016,14172.19,354.3,63.77,0.0,13754.12
2,2026-08-23,OD-02-0017,5062.83,126.57,22.78,0.0,4913.48
2,2026-08-23,OD-02-0018,6236.66,155.92,28.07,0.0,6052.67
2,2026-08-23,OD-02-0019,7153.35,178.83,32.19,0.0,6942.33
3,2026-08-26,OD-03-0001,8639.84,216.0,38.88,0.0,8384.96
3,2026-08-26,OD-03-0001,8639.84,216.0,38.88,0.0,8384.96
3,2026-08-26,OD-03-0002,8976.5,224.41,40.39,0.0,8711.7
3,2026-08-26,OD-03-0003,6291.31,157.28,28.31,0.0,6105.72
3,2026-08-26,OD-03-0004,14964.3,374.11,67.34,0.0,14522.85
3,2026-08-26,OD-03-0005,1818.19,41.82,7.53,523.13,1245.71
3,2026-08-26,OD-03-0006,9597.97,239.95,43.19,0.0,9314.83
3,2026-08-26,OD-03-0007,6621.32,165.53,29.8,3345.72,3080.27
3,2026-08-26,OD-03-0008,14943.76,373.59,67.25,0.0,14502.92
3,2026-08-26,OD-03-0009,14580.64,364.52,65.61,0.0,14150.51
3,2026-08-26,OD-03-0010,666.47,13.33,2.4,0.0,650.74
3,2026-08-26,OD-03-0011,10384.8,259.62,46.73,0.0,10078.45
3,2026-08-26,OD-03-0012,4368.97,100.49,18.09,0.0,4250.39
3,2026-08-26,OD-03-0013,2117.51,48.7,8.77,0.0,2060.04
3,2026-08-26,OD-03-0014,7078.99,176.97,31.85,0.0,6870.17
3,2026-08-26,OD-03-0015,13199.87,330.0,59.4,0.0,12810.47
3,2026-08-26,OD-03-0016,7758.5,193.96,34.91,0.0,7529.63
4,2026-08-27,OD-04-0001,13122.52,328.06,59.05,0.0,12735.41
4,2026-08-27,OD-04-0002,9764.77,244.12,43.94,0.0,9476.71
4,2026-08-27,OD-04-0003,2716.17,62.47,11.24,0.0,2642.46
4,2026-08-27,OD-04-0004,8321.0,208.03,37.45,0.0,8075.52
4,2026-08-27,OD-04-0005,8190.13,204.75,36.85,3761.93,4186.6
4,2026-08-27,OD-04-0006,782.41,15.65,2.82,0.0,763.94
4,2026-08-27,OD-04-0007,13241.47,331.04,59.59,0.0,12850.84
4,2026-08-27,OD-04-0008,4958.95,114.06,20.53,4474.99,349.37
4,2026-08-27,OD-04-0009,14230.77,355.77,64.04,8378.97,5431.99
4,2026-08-27,OD-04-0010,1503.58,34.58,6.22,0.0,1462.78
4,2026-08-27,OD-04-0011,11604.6,290.12,52.22,0.0,11262.26
4,2026-08-27,OD-04-0012,7391.59,184.79,33.26,0.0,7173.54
4,2026-08-27,OD-04-0013,4343.32,99.9,17.98,0.0,4225.44
4,2026-08-27,OD-04-0014,6635.5,165.89,29.86,0.0,6439.75
4,2026-08-27,OD-04-0015,8319.79,207.99,37.44,0.0,8074.36
