batch_id,settlement_date,total_gross,total_refunds,total_fees,total_tax,total_net
1,2026-08-20,130737.71,18743.29,3239.88,583.16,108171.38
2,2026-08-23,129373.97,9329.2,3178.33,572.09,116294.35
3,2026-08-26,132008.94,3868.85,3280.28,590.45,124269.36
4,2026-08-27,115126.57,16615.89,2847.22,512.49,95150.97
5,2026-09-03,134760.12,21156.72,3326.89,598.84,109677.67
6,2026-09-10,133400.9,8474.85,3301.42,594.26,121030.37
7,2026-09-24,136562.35,10027.96,3365.01,605.71,122563.67
8,2026-10-08,146577.35,13706.64,3629.41,653.3,128588.0
9,2026-10-22,156623.3,24573.67,4670.51,840.7,126538.42
10,2026-11-05,136382.88,21741.97,3366.24,605.92,110668.75
